0.72872,11.329815
0.72872,9.477104
0.725913,11.36576
0.72872,10.98988
0.729453,11.692912
0.723067,10.230734
0.72605,12.040364
0.729764,15.051321
0.728265,13.175998
0.728654,11.188132
0.728235,9.69105
0.725786,12.282256
0.728662,12.271316
0.728372,10.217345
0.728726,9.942098
0.731585,9.786533
0.727719,9.830811
0.72872,11.86249
0.725446,11.870378
0.727805,10.953397
0.728616,11.321251
0.729363,12.219983
0.728985,8.72641
0.727626,12.721071
0.72872,10.580471
0.729057,10.494882
0.727413,9.653838
0.728551,11.072182
0.72872,8.70191
0.72872,8.694906
0.729113,10.677826
0.72264,9.170906
0.728354,8.977225
0.728738,8.332007
0.72872,9.798143
0.72872,15.918292
0.729289,9.855159
0.729309,7.712041
0.72872,10.452229
0.727762,9.331502
0.72872,9.717861
0.729891,9.841522
0.72872,12.692113
0.728521,12.64125
0.736044,10.765524
0.721859,10.738166
0.723713,12.595442
0.729497,9.401438
0.72872,10.929358
0.72694,12.348391
0.72872,10.479589
0.709805,13.294928
0.729653,11.936279
0.72872,11.240642
0.728161,9.957144
0.72872,11.656079
0.729368,11.063826
0.728566,11.144222
0.725472,11.23037
0.728111,9.530053
0.715674,10.40935
0.727058,10.612531
0.727287,11.132063
0.728731,11.696471
0.728006,8.870339
0.728254,8.577752
0.728826,11.810552
0.72872,13.10226
0.72872,11.398448
0.72872,9.5845
0.728398,12.060256
0.72872,8.094658
0.7283,10.065441
0.729177,10.88899
0.72872,8.144458
0.728017,10.937094
0.72872,9.814995
0.72452,10.521489
0.726577,10.375698
0.72913,10.377573
0.730638,14.069496
0.728091,10.237784
0.72872,11.615098
0.728867,9.048827
0.729759,11.92384
0.724258,11.516811
0.726695,10.60527
0.729352,8.961888
0.728901,8.804175
0.72961,11.765178
0.727731,12.532257
0.728893,8.930791
0.726539,7.837137
0.72872,9.108592
0.728575,9.513194
0.72872,14.754974
0.729973,12.181134
0.729115,10.971566
0.727865,14.900286
0.728856,10.772477
0.731903,9.591235
0.727486,10.631123
0.72872,11.778521
0.729196,11.142821
0.72872,10.270094
0.729713,12.480513
0.71091,11.22968
0.729483,14.635776
